PC1,PC2,spectral_cluster,dbscan_cluster
-1.3656347730059253,-0.4782777247982802,1,3
0.6839726122573263,-0.4142417961383216,2,3
-2.4969416072844077,2.185898621049553,0,1
1.391250831545627,-0.2815296647357931,2,3
-0.9955852809558776,-0.5017632930966507,1,3
0.6814326879394351,-0.3686818557572428,2,3
0.9471955153458186,-0.3355278725895438,2,3
0.3805340313994581,-0.4325155325231216,2,3
-0.413909759457412,-0.384858672302617,1,3
-0.4237448991354247,-0.3250326192340486,1,3
0.0491338686595723,-0.3189287095042637,1,3
-0.8421310763275494,-0.4904621481772929,1,3
-0.362055075724108,-0.314995709651341,1,3
0.9590553327755637,-0.3901961959747489,2,3
1.6621132157170315,-0.2725964213996784,2,3
-0.0871629305901655,-0.4612793002113884,1,3
-4.085390348090778,1.1752266390797634,0,-1
0.2358451047770253,-0.3762272906956228,1,3
0.1528593506006662,-0.44756361422892,1,3
0.7950138268498513,-0.4090122038344933,2,3
-0.2708759231145914,-0.4538860623493654,1,3
-0.7450678828786712,-0.516430182432459,1,3
0.375554252865266,-0.3904635337622363,2,3
0.2091752214089644,-0.4288181037304054,1,3
-1.1175782641834482,-0.4379190300772223,1,3
1.7540608386901702,-0.2570557585031405,2,3
1.8813692222256893,-0.2347061067936874,2,3
-0.0383908467246689,0.5671277182557232,2,0
-0.2334413894672204,-0.2940703143644695,1,3
-0.0332552967113794,0.6365841657652581,2,0
-0.1567506202198086,0.5561225017309491,2,0
0.1938324438544402,0.5698175412426285,2,0
0.1471682983455695,-0.3966328903738641,1,3
-0.2716085080560744,-0.4120641834172709,1,3
-0.0123727970616147,1.5673301632827146,0,4
-0.2338471433453198,-0.2941363303580665,1,3
0.194605592551553,-0.3798859032102564,1,3
-1.7287363530511517,0.4901741384361082,2,0
0.3337973202478634,-0.3605652949822466,2,3
1.0862403486192955,0.6620635743805867,0,0
1.2360295132479584,-0.3139774794812415,2,3
1.2349168685141616,-0.3369530334814439,2,3
0.5776902188137166,-0.3905248877256766,2,3
0.0296986471803329,1.1516204828183707,0,1
-0.2341337190473482,-0.294182956110108,1,3
0.4846400127412149,-0.3380065288878999,2,3
-1.6270345931934955,1.4007571016591085,0,1
-0.9722088242073412,0.6337362734267942,2,0
-1.0676436145336508,-0.5097898645893407,1,3
-1.5669321956302646,1.723953954969164,0,1
0.7515272965504542,-0.361427990116529,2,3
0.7154983480383652,-0.3781278157954611,2,3
0.2934149935168015,-0.3758379741358622,2,3
1.199735727281218,-0.310748979776707,2,3
1.0521461932713547,-0.3490059965402725,2,3
-0.4523117050971028,-0.3296804271324825,1,3
-1.0768148796637875,-0.431286843728089,1,3
-0.556836501411551,0.5293932688163251,2,0
-0.7702611771387226,-0.3814106790003445,1,3
0.5748824085258839,-0.3959830963841659,2,3
-0.3776334527986357,-0.3380057141535501,1,3
1.7479953823226897,-0.2794627511682864,2,3
1.1585327120946307,-0.2964716711767779,2,3
-0.0871139135287433,-0.3231910564840523,1,3
0.9484996649579368,-0.3881111294873998,2,3
-1.197368868591301,1.0687243125045138,0,1
0.5957456617400825,-0.3561773573123904,2,3
0.7446784217230311,-0.3401994431723109,2,3
-0.4459986955856375,-0.3286533030112336,1,3
-0.3128270835079705,0.57912060160239,2,0
-0.3516473456145628,1.1146030504958837,0,1
0.302652221492402,-0.3019329522187854,2,3
0.8612105396373769,-0.3251629314550077,2,3
-1.1061867895881128,0.6119381120730815,2,0
1.539943946330179,-0.3077612972249243,2,3
0.2159592260730995,0.5552583840843639,2,0
1.491206567983092,-0.3055035262131109,2,3
0.360000460551934,0.5775589005514669,2,0
-1.086171756474468,0.5014620725741616,2,0
2.853755608310728,3.0075976850594377,0,2
0.8611801889004952,-0.3702957503286143,2,3
-0.1972155291315297,-0.3700780165289209,1,3
0.6977088755049595,-0.3742664426762603,2,3
-0.994542674623205,0.6301025649014328,2,0
0.1545569927202417,-0.4330113088942944,1,3
0.4519988646837489,0.5980312062535664,2,0
-0.906881434795374,-0.4036387402499812,1,3
-0.2325298770317013,-0.293922011655969,1,3
0.5704806548077113,-0.2993081908671548,2,3
1.7655616189311572,-0.2560993142809902,2,3
0.3641058110052063,-0.3893364733743222,2,3
1.0513826473938732,-0.3271100829061845,2,3
-0.1952967395677198,-0.4530206685703231,1,3
-0.370836744366237,-0.4238779447431452,1,3
0.7662571839874772,-0.2993113996841672,2,3
1.224990044619015,-0.3403643388170755,2,3
2.028841314616237,-0.231942533725095,2,3
-0.6408305327407446,0.5605102928414833,2,0
1.8102918382775768,-0.2472531303164064,2,3
1.3995756677687632,-0.3139177558881102,2,3
-1.7446460730617397,-0.6312513969945522,1,3
0.6029330823029272,-0.3596471031840527,2,3
-1.187855397809242,0.5781752534105378,2,0
-1.028118958009529,0.5376616646989243,2,0
0.6277977189034563,-0.3751495295648143,2,3
-1.1894035473147593,0.5983987788916671,2,0
-0.7068949177199831,0.6359519222697512,2,0
0.926381848018458,0.6324048411075838,2,0
-1.7824881822158365,-0.5460996076651997,1,3
-0.1235755134197518,-0.3712800341261515,1,3
-0.0219148052905392,-0.4652620997861856,1,3
-0.0155231254646779,-0.4232152525198002,1,3
1.8110251257275016,-0.2499863213458903,2,3
0.580278750122279,-0.3331607292352965,2,3
-0.4815236687482552,-0.3344332019288223,1,3
1.313349144688546,-0.2816132178995921,2,3
0.5826082466024074,3.787200651917243,2,5
0.66867800551708,-0.3174124877762203,2,3
0.9641351457283792,-0.3555546657500677,2,3
1.7717861771449817,-0.2548881128381944,2,3
-1.0402521803093818,-0.4253381071743616,1,3
-0.4459986955856375,-0.3286533030112336,1,3
-1.3358551631474138,1.0466891262195257,0,1
1.070785042850505,-0.3231684115948653,2,3
-1.201452487178792,0.5964384211973932,2,0
